0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
28.0,27.0,26.0,28.0,27.0,27.0,27.0,27.0,28.0,28.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
27.0,27.0,27.0,28.0,27.0,27.0,27.0,28.0,28.0,28.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26.0,26.0,25.0,27.0,26.0,26.0,26.0,26.0,27.0,27.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,25.0,24.0,26.0,25.0,25.0,25.0,25.0,26.0,26.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23.0,25.0,24.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,25.0,25.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23.0,24.0,23.0,25.0,24.0,24.0,24.0,25.0,24.0,24.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,25.0,25.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,26.0,26.0,27.0,27.0,26.0,26.0,27.0,27.0,27.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
