0,1,2,3,4,5,6,7,8,9
29.0,28.0,28.0,29.0,29.0,28.0,28.0,29.0,28.0,30.0
29.0,28.0,28.0,29.0,29.0,28.0,28.0,29.0,28.0,30.0
28.0,27.0,27.0,28.0,28.0,27.0,27.0,28.0,27.0,29.0
27.0,26.0,26.0,27.0,27.0,26.0,26.0,27.0,26.0,28.0
25.0,25.0,26.0,26.0,27.0,25.0,25.0,27.0,26.0,27.0
27.0,26.0,27.0,27.0,27.0,26.0,26.0,27.0,27.0,28.0
25.0,24.0,25.0,25.0,26.0,24.0,24.0,26.0,25.0,26.0
26.0,25.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,27.0
27.0,26.0,27.0,27.0,27.0,26.0,26.0,27.0,27.0,28.0
27.0,27.0,28.0,28.0,28.0,27.0,27.0,28.0,27.0,29.0
