time,tvalue,cond1_off,cond1_on16h,cond1_on16l,cond1_on23h,cond1_on23l,cond1_on30l,cond1_on30m,cond2_off,cond2_on16h,cond2_on16l,cond2_on16m,cond2_on23h,cond2_on23l,cond2_on23m,cond2_on30h,cond2_on30l,cond2_on30m
2019-06-11 16:11:05.197736,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-11 16:31:06.414038,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-11 16:51:07.581839,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-11 17:11:08.807465,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-11 17:31:09.940769,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-11 17:51:11.119589,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-11 18:11:12.294045,26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-11 18:31:13.527571,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-06-11 18:51:15.868703,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-06-11 19:11:17.061850,25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-11 19:31:18.223191,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-11 19:51:19.411744,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-11 20:11:20.565004,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-11 20:31:21.702405,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-11 20:51:22.897728,23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-11 21:11:24.041673,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-11 21:31:25.175441,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-11 21:51:26.405570,22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-06-11 22:11:28.753207,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-06-11 22:31:29.910573,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-11 22:51:31.097130,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-11 23:11:32.282806,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-11 23:31:33.444426,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-11 23:51:34.669312,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-12 00:11:35.828204,22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-12 00:31:37.056886,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-12 00:51:38.272132,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-12 01:11:39.496852,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-06-12 01:31:41.726799,23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2019-06-12 01:51:42.951553,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2019-06-12 02:11:44.077216,22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2019-06-12 02:31:45.288369,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2019-06-12 02:51:46.465712,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2019-06-12 03:11:47.632752,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2019-06-12 03:31:48.860332,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019-06-12 03:51:50.086329,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2019-06-12 04:11:51.206148,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2019-06-12 04:31:52.367171,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-06-12 04:51:54.622492,23,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-06-12 05:11:55.826800,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2019-06-12 18:26:55.888345,25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-12 18:46:57.120897,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-12 19:06:58.348667,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-12 19:26:59.579734,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-12 19:47:00.809267,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-12 20:07:02.003412,25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-12 20:27:03.183582,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-12 20:47:04.421096,25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-12 21:07:06.649306,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-06-12 21:27:07.791315,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-06-12 21:47:08.973094,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-12 22:07:10.215474,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-12 22:27:11.443780,24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-12 22:47:12.665775,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-12 23:07:13.899055,26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-12 23:27:15.069269,23,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-12 23:47:16.299200,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-13 00:07:17.465189,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-13 00:27:19.836807,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-06-13 00:47:21.008820,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-06-13 01:07:22.196865,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-13 01:27:23.386750,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-13 01:47:24.617601,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-13 02:07:25.820198,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
